2026-03-30 20:23:54 | modelado.gold | INFO | Construyendo gold_user_metrics...
2026-03-30 20:23:54 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_user_metrics.parquet (100 registros)
2026-03-30 20:23:54 | modelado.gold | INFO | Construyendo gold_channel_metrics...
2026-03-30 20:23:54 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_channel_metrics.parquet (3 registros)
2026-03-30 20:23:54 | modelado.gold | INFO | Construyendo gold_payment_method_metrics...
2026-03-30 20:23:54 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_payment_method_metrics.parquet (5 registros)
2026-03-30 20:23:54 | modelado.gold | INFO | Construyendo gold_summary...
2026-03-30 20:23:54 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_summary.parquet (1 registros)
2026-03-30 20:23:54 | modelado.gold | INFO | ✅ GOLD COMPLETO en 0.03s
2026-03-30 20:23:54 | modelado.gold | INFO |    gold_user_metrics: data/gold/date=2026-03-30/gold_user_metrics.parquet
2026-03-30 20:23:54 | modelado.gold | INFO |    gold_channel_metrics: data/gold/date=2026-03-30/gold_channel_metrics.parquet
2026-03-30 20:23:54 | modelado.gold | INFO |    gold_payment_method_metrics: data/gold/date=2026-03-30/gold_payment_method_metrics.parquet
2026-03-30 20:23:54 | modelado.gold | INFO |    gold_summary: data/gold/date=2026-03-30/gold_summary.parquet
2026-03-30 20:23:54 | calidad.quality_checks | INFO | ==================================================
2026-03-30 20:23:54 | calidad.quality_checks | INFO | INICIANDO CALIDAD Y OBSERVABILIDAD — NIVEL 3
2026-03-30 20:23:54 | calidad.quality_checks | INFO | ==================================================
2026-03-30 20:23:54 | calidad.quality_checks | INFO | Ejecutando: conteo de registros...
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [users] record_count: 100 registros en Silver
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [transactions] record_count: 499 registros en Silver
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [transaction_details] record_count: 616 registros en Silver
2026-03-30 20:23:54 | calidad.quality_checks | INFO | Ejecutando: trazabilidad Bronze → Silver...
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [transactions] bronze_to_silver_traceability: Bronze=510 → Silver=499 (se eliminaron 11 invalidos)
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [transaction_details] bronze_to_silver_traceability: Bronze=617 → Silver=616
2026-03-30 20:23:54 | calidad.quality_checks | INFO | Ejecutando: null checks...
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [users] null_check_user_id: 0 nulls en columna user_id
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [users] null_check_name: 0 nulls en columna name
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [users] null_check_email: 0 nulls en columna email
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [transactions] null_check_transaction_id: 0 nulls en columna transaction_id
2026-03-30 20:23:54 | calidad.quality_checks | INFO |   ✅ [transactions] null_check_user_id: 0 nulls en columna user_id
